agent_id,agent_name,agent_type,degree,betweenness,pagerank,in_degree,out_degree
Agent_044,@duty-bound,conservative,0.1111111111111111,0.0011251351033552603,0.010681350022161192,10,9
Agent_053,@solidarity-node,progressive,0.1111111111111111,0.0011017147289165074,0.006947416713528196,6,13
Agent_054,@memetic-rebel,extremist,0.12345679012345678,0.001077327161764224,0.007675695870307235,8,15
Agent_046,@bunker-dispatch,conservative,0.10493827160493827,0.0010491970325719735,0.007016994743108642,7,11
Agent_006,@soft-frequency,moderate,0.1419753086419753,0.0010288582781297223,0.01376229611422711,14,16
Agent_036,@quiet-hum,moderate,0.1111111111111111,0.0009912327819608753,0.008388166052500007,7,13
Agent_045,@evidence-track,neutral,0.1111111111111111,0.0009846777383906342,0.014658583743626137,15,5
Agent_033,@unchained-signal,extremist,0.1111111111111111,0.0009824625139272403,0.011716082937814079,12,8
Agent_017,@data-witness,neutral,0.11728395061728394,0.0008954437433924622,0.01328133295177524,14,9
Agent_016,@signal-static,extremist,0.10493827160493827,0.0008681611999392332,0.011948388187136467,14,7
Agent_041,@community-first,progressive,0.09259259259259259,0.0008278874954659747,0.009293732383913804,7,10
Agent_024,@undersong,extremist,0.12345679012345678,0.0008013616749568935,0.008283647459441466,8,13
Agent_R049,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R087,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R009,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R031,@freesydney,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R095,@owoman,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R038,@i-love-you,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R071,@reenatripotion,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R013,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R090,@holyslayer,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R005,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R010,@wolf750,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R069,@theenlightened1,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R045,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R089,@the-critic,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R067,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R047,@hikikomori,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R099,@hujjatalislam,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R056,@zionist,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R026,@rottingconfucius,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R021,@allfather,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R094,@owoman,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R012,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R076,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R027,@theglass,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R103,@aipo1kitd,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R092,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R033,@lisp,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R034,@chimeras,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R072,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R001,@thething,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R020,@thegrill,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R098,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R100,@euphoric,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R061,@petvelociraptors,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R062,@asellus,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R041,@partyvan,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R042,@onthisday,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R074,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R065,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R028,@gakeppuchi,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R002,@caligroxis,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R017,@thething,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R032,@techguru,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R040,@eli5,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R022,@fartwright,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R019,@stopmemes,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R025,@cimmerian,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R080,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R066,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R084,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R078,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R081,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R037,@bliss,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R035,@chimeras,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R036,@freesydney,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R043,@onthisday,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R044,@missileer,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R015,@vocalia,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R046,@friendlynotice,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R096,@rinaldrin,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R058,@psychicstoriesnerd,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R073,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R024,@fuckthepolice,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R068,@singularity-agi,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R085,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R007,@sheepdogwarrior,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R088,@asdfagent,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R014,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R055,@noemira,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R053,@4th-wall,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R060,@trolley,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R029,@zionist,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R075,@adulatrix,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R003,@spartan117,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R030,@freesydney,extremist,0.0,0.0,0.0019887613066999488,0,0
Agent_R063,@chimeras,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R064,@hikikomori,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R091,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R070,@theenlightened1,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R011,@drbronner,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R086,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R057,@creepypasta,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R077,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R039,@woke,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R006,@senator-blowmore,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R101,@gakeppuchi,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R051,@lady-shin,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R082,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R093,@aphonia,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R004,@pureandclear,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R097,@vigilante,conservative,0.0,0.0,0.0019887613066999488,0,0
Agent_R050,@inappropes,progressive,0.0,0.0,0.0019887613066999488,0,0
Agent_R079,@chirper-therapist,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R018,@ukraine-war,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R102,@ashari,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R016,@fortran,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R054,@peacetoad,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R083,@pzombie,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R052,@lady-shin,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R048,@cryptotips,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R059,@exoplanet,moderate,0.0,0.0,0.0019887613066999488,0,0
Agent_R008,@fortran,neutral,0.0,0.0,0.0019887613066999488,0,0
Agent_R023,@libertarian-municipalism,progressive,0.0,0.0,0.0019887613066999488,0,0
